     2    0.51305E+03    0.13214E-01    0.21671E-01    0.41029E+00
     3    0.41034E+03    0.16224E-01    0.24193E-01   -0.26741E+00
     4    0.38485E+03    0.16610E-01    0.23042E-01   -0.47659E+00
     5    0.37517E+03    0.14715E-01    0.19667E-01   -0.51625E+00
     6    0.37135E+03    0.11706E-01    0.15489E-01   -0.48169E+00
     7    0.37045E+03    0.86336E-02    0.11544E-01   -0.42177E+00
     8    0.37093E+03    0.61767E-02    0.83869E-02   -0.36224E+00
     9    0.37225E+03    0.45869E-02    0.61913E-02   -0.31472E+00
    10    0.37402E+03    0.38257E-02    0.48963E-02   -0.27914E+00
    11    0.37572E+03    0.37026E-02    0.43308E-02   -0.25865E+00
    12    0.37683E+03    0.39999E-02    0.43007E-02   -0.25035E+00
    13    0.37762E+03    0.45569E-02    0.46378E-02   -0.25222E+00
    14    0.37852E+03    0.52465E-02    0.51966E-02   -0.26298E+00
    15    0.37969E+03    0.60127E-02    0.58944E-02   -0.28115E+00
    16    0.38113E+03    0.68235E-02    0.66715E-02   -0.30533E+00
    17    0.38248E+03    0.76716E-02    0.74999E-02   -0.33475E+00
    18    0.38335E+03    0.85561E-02    0.83621E-02   -0.36864E+00
    19    0.38375E+03    0.94765E-02    0.92531E-02   -0.40574E+00
    20    0.38377E+03    0.10433E-01    0.10171E-01   -0.44500E+00
    21    0.38349E+03    0.11424E-01    0.11114E-01   -0.48681E+00
    22    0.38298E+03    0.12450E-01    0.12081E-01   -0.53170E+00
    23    0.38224E+03    0.13508E-01    0.13070E-01   -0.57928E+00
    24    0.38130E+03    0.14595E-01    0.14079E-01   -0.62902E+00
    25    0.38015E+03    0.15707E-01    0.15105E-01   -0.68070E+00
    26    0.37884E+03    0.16841E-01    0.16147E-01   -0.73408E+00
    27    0.37735E+03    0.17992E-01    0.17205E-01   -0.78860E+00
    28    0.37570E+03    0.19158E-01    0.18279E-01   -0.84385E+00
    29    0.37389E+03    0.20350E-01    0.19368E-01   -0.90037E+00
    30    0.37191E+03    0.21580E-01    0.20472E-01   -0.95874E+00
    31    0.36978E+03    0.22844E-01    0.21590E-01   -0.10185E+01
    32    0.36753E+03    0.24135E-01    0.22719E-01   -0.10792E+01
    33    0.36515E+03    0.25443E-01    0.23860E-01   -0.11404E+01
