     2    0.10741E+04    0.45370E-01    0.32321E+01    0.10889E+07    0.29444E+05
     3    0.10149E+04    0.70658E-01    0.39244E+01    0.16765E+07    0.35222E+05
     4    0.95643E+03    0.75755E-01    0.39509E+01    0.21972E+07    0.37950E+05
     5    0.91110E+03    0.63907E-01    0.36004E+01    0.26568E+07    0.39051E+05
     6    0.87855E+03    0.44842E-01    0.30879E+01    0.30624E+07    0.39250E+05
     7    0.85651E+03    0.27280E-01    0.25469E+01    0.34221E+07    0.38954E+05
     8    0.84224E+03    0.15478E-01    0.20558E+01    0.37424E+07    0.38333E+05
     9    0.83403E+03    0.94901E-02    0.16509E+01    0.40288E+07    0.37479E+05
    10    0.83048E+03    0.72312E-02    0.13486E+01    0.42853E+07    0.36490E+05
    11    0.83016E+03    0.64784E-02    0.11509E+01    0.45166E+07    0.35489E+05
    12    0.83340E+03    0.59838E-02    0.10507E+01    0.47246E+07    0.34534E+05
    13    0.83849E+03    0.52343E-02    0.10235E+01    0.49118E+07    0.33625E+05
    14    0.84448E+03    0.45912E-02    0.10416E+01    0.50809E+07    0.32752E+05
    15    0.85175E+03    0.42232E-02    0.10888E+01    0.52338E+07    0.31883E+05
    16    0.86077E+03    0.41796E-02    0.11531E+01    0.53719E+07    0.30997E+05
    17    0.87146E+03    0.44450E-02    0.12228E+01    0.54969E+07    0.30121E+05
    18    0.88289E+03    0.48131E-02    0.12896E+01    0.56101E+07    0.29285E+05
    19    0.89586E+03    0.52282E-02    0.13502E+01    0.57123E+07    0.28486E+05
    20    0.90871E+03    0.57357E-02    0.14009E+01    0.58041E+07    0.27712E+05
    21    0.92179E+03    0.63667E-02    0.14473E+01    0.58866E+07    0.26959E+05
    22    0.93541E+03    0.72182E-02    0.14951E+01    0.59610E+07    0.26224E+05
    23    0.94936E+03    0.83056E-02    0.15449E+01    0.60278E+07    0.25514E+05
    24    0.96372E+03    0.95932E-02    0.15962E+01    0.60875E+07    0.24837E+05
    25    0.97842E+03    0.11094E-01    0.16495E+01    0.61405E+07    0.24193E+05
    26    0.99330E+03    0.12788E-01    0.17058E+01    0.61877E+07    0.23580E+05
    27    0.10086E+04    0.14650E-01    0.17616E+01    0.62294E+07    0.22991E+05
    28    0.10241E+04    0.16678E-01    0.18141E+01    0.62661E+07    0.22421E+05
    29    0.10400E+04    0.18883E-01    0.18614E+01    0.62978E+07    0.21873E+05
    30    0.10561E+04    0.21283E-01    0.19012E+01    0.63246E+07    0.21353E+05
    31    0.10723E+04    0.23872E-01    0.19324E+01    0.63472E+07    0.20854E+05
    32    0.10888E+04    0.26633E-01    0.19537E+01    0.63661E+07    0.20371E+05
    33    0.11057E+04    0.29579E-01    0.19631E+01    0.63815E+07    0.19900E+05
    34    0.11228E+04    0.32740E-01    0.19597E+01    0.63936E+07    0.19440E+05
    35    0.11400E+04    0.36137E-01    0.19478E+01    0.64027E+07    0.18989E+05
