     2    0.10353E+04    0.48895E-01    0.29740E+01
     3    0.96995E+03    0.79579E-01    0.37719E+01
     4    0.90879E+03    0.88730E-01    0.39051E+01
     5    0.86180E+03    0.77842E-01    0.36351E+01
     6    0.82814E+03    0.56774E-01    0.31713E+01
     7    0.80519E+03    0.35677E-01    0.26492E+01
     8    0.79008E+03    0.20449E-01    0.21504E+01
     9    0.78212E+03    0.12147E-01    0.17249E+01
    10    0.77854E+03    0.88312E-02    0.13924E+01
    11    0.77842E+03    0.78390E-02    0.11621E+01
    12    0.78166E+03    0.72374E-02    0.10295E+01
    13    0.78738E+03    0.65507E-02    0.97660E+00
    14    0.79460E+03    0.57252E-02    0.98239E+00
    15    0.80272E+03    0.50570E-02    0.10253E+01
    16    0.81154E+03    0.48338E-02    0.10856E+01
    17    0.82191E+03    0.49584E-02    0.11523E+01
    18    0.83451E+03    0.52543E-02    0.12170E+01
    19    0.84814E+03    0.56104E-02    0.12748E+01
    20    0.86153E+03    0.59660E-02    0.13225E+01
    21    0.87505E+03    0.63962E-02    0.13617E+01
    22    0.88926E+03    0.70002E-02    0.13956E+01
    23    0.90400E+03    0.78382E-02    0.14287E+01
    24    0.91896E+03    0.89447E-02    0.14652E+01
    25    0.93417E+03    0.10290E-01    0.15064E+01
    26    0.94973E+03    0.11836E-01    0.15523E+01
    27    0.96567E+03    0.13564E-01    0.16005E+01
    28    0.98199E+03    0.15468E-01    0.16478E+01
    29    0.99854E+03    0.17549E-01    0.16920E+01
    30    0.10152E+04    0.19809E-01    0.17313E+01
    31    0.10320E+04    0.22238E-01    0.17630E+01
    32    0.10491E+04    0.24827E-01    0.17844E+01
    33    0.10665E+04    0.27586E-01    0.17946E+01
    34    0.10842E+04    0.30528E-01    0.17929E+01
    35    0.11021E+04    0.33671E-01    0.17800E+01
    36    0.11201E+04    0.37036E-01    0.17566E+01
    37    0.11382E+04    0.40638E-01    0.17236E+01
    38    0.11566E+04    0.44494E-01    0.16816E+01
    39    0.11752E+04    0.48605E-01    0.16311E+01
    40    0.11941E+04    0.52971E-01    0.15725E+01
    41    0.12131E+04    0.57593E-01    0.15058E+01
    42    0.12323E+04    0.62471E-01    0.14303E+01
    43    0.12517E+04    0.67608E-01    0.13449E+01
    44    0.12713E+04    0.73004E-01    0.12484E+01
    45    0.12911E+04    0.78662E-01    0.11399E+01
    46    0.13111E+04    0.84584E-01    0.10183E+01
    47    0.13312E+04    0.90772E-01    0.88377E+00
    48    0.13515E+04    0.97232E-01    0.73626E+00
    49    0.13720E+04    0.10397E+00    0.57595E+00
    50    0.13927E+04    0.11098E+00    0.40298E+00
    51    0.14136E+04    0.11827E+00    0.21745E+00
    52    0.14346E+04    0.12585E+00    0.19376E-01
    53    0.14559E+04    0.13371E+00   -0.19122E+00
    54    0.14774E+04    0.14186E+00   -0.41433E+00
    55    0.14991E+04    0.15029E+00   -0.64996E+00
    56    0.15210E+04    0.15900E+00   -0.89810E+00
    57    0.15432E+04    0.16799E+00   -0.11588E+01
    58    0.15655E+04    0.17726E+00   -0.14322E+01
    59    0.15880E+04    0.18681E+00   -0.17184E+01
    60    0.16106E+04    0.19663E+00   -0.20173E+01
    61    0.16335E+04    0.20673E+00   -0.23292E+01
    62    0.16565E+04    0.21709E+00   -0.26540E+01
    63    0.16797E+04    0.22772E+00   -0.29918E+01
    64    0.17032E+04    0.23861E+00   -0.33425E+01
    65    0.17269E+04    0.24975E+00   -0.37061E+01
    66    0.17508E+04    0.26114E+00   -0.40827E+01
    67    0.17751E+04    0.27277E+00   -0.44720E+01
    68    0.17995E+04    0.28464E+00   -0.48739E+01
    69    0.18242E+04    0.29675E+00   -0.52881E+01
    70    0.18492E+04    0.30910E+00   -0.57145E+01
    71    0.18744E+04    0.32167E+00   -0.61529E+01
    72    0.18998E+04    0.33445E+00   -0.66030E+01
    73    0.19255E+04    0.34744E+00   -0.70646E+01
    74    0.19513E+04    0.36063E+00   -0.75373E+01
    75    0.19775E+04    0.37401E+00   -0.80211E+01
    76    0.20038E+04    0.38756E+00   -0.85155E+01
    77    0.20304E+04    0.40127E+00   -0.90205E+01
    78    0.20573E+04    0.41514E+00   -0.95357E+01
    79    0.20844E+04    0.42916E+00   -0.10061E+02
    80    0.21117E+04    0.44333E+00   -0.10596E+02
    81    0.21392E+04    0.45762E+00   -0.11142E+02
    82    0.21670E+04    0.47203E+00   -0.11696E+02
    83    0.21951E+04    0.48655E+00   -0.12259E+02
    84    0.22233E+04    0.50117E+00   -0.12831E+02
    85    0.22519E+04    0.51587E+00   -0.13410E+02
    86    0.22807E+04    0.53064E+00   -0.13997E+02
    87    0.23097E+04    0.54546E+00   -0.14591E+02
    88    0.23390E+04    0.56033E+00   -0.15192E+02
    89    0.23685E+04    0.57524E+00   -0.15800E+02
    90    0.23983E+04    0.59016E+00   -0.16414E+02
    91    0.24283E+04    0.60509E+00   -0.17033E+02
